,Distribution,Order (n),Central Momentum (CM[n]),Recursive Formula for Central Momentum CM[n])
1,Bernoulli,1,0,
2,Bernoulli,2,p*(1 - p),p*(1 - p)
3,Bernoulli,3,p*(2*p**2 - 3*p + 1),CM[2]*(1 - 2*p)
4,Bernoulli,4,p*(p**3*(1 - p) + (p - 1)**4),CM[3]*(-3*p**2 + 3*p - 1)/(2*p - 1)
5,Bernoulli,5,p*(p - 1)*(p**4 - (p - 1)**4),CM[4]*(-p**4 + (p - 1)**4)/(p**3 - (p - 1)**3)
6,Bernoulli,6,p*(p**5*(1 - p) + (p - 1)**6),CM[5]*(p**5*(1 - p) + (p - 1)**6)/((p - 1)*(p**4 - (p - 1)**4))
7,Bernoulli,7,p*(p - 1)*(p**6 - (p - 1)**6),CM[6]*(-p**6 + (p - 1)**6)/(p**5 - (p - 1)**5)
8,Bernoulli,8,p*(p**7*(1 - p) + (p - 1)**8),CM[7]*(p**7*(1 - p) + (p - 1)**8)/((p - 1)*(p**6 - (p - 1)**6))
9,Bernoulli,9,p*(p - 1)*(p**8 - (p - 1)**8),CM[8]*(-p**8 + (p - 1)**8)/(p**7 - (p - 1)**7)
10,Bernoulli,10,p*(p**9*(1 - p) + (p - 1)**10),CM[9]*(p**9*(1 - p) + (p - 1)**10)/((p - 1)*(p**8 - (p - 1)**8))
11,Bernoulli,11,p*(p - 1)*(p**10 - (p - 1)**10),CM[10]*(-p**10 + (p - 1)**10)/(p**9 - (p - 1)**9)
12,Bernoulli,12,p*(p**11*(1 - p) + (p - 1)**12),CM[11]*(p**11*(1 - p) + (p - 1)**12)/((p - 1)*(p**10 - (p - 1)**10))
13,Bernoulli,13,p*(p - 1)*(p**12 - (p - 1)**12),CM[12]*(-p**12 + (p - 1)**12)/(p**11 - (p - 1)**11)
14,Bernoulli,14,p*(p**13*(1 - p) + (p - 1)**14),CM[13]*(p**13*(1 - p) + (p - 1)**14)/((p - 1)*(p**12 - (p - 1)**12))
15,Bernoulli,15,p*(p - 1)*(p**14 - (p - 1)**14),CM[14]*(-p**14 + (p - 1)**14)/(p**13 - (p - 1)**13)
