,Distribution,Order (n),Momentum (M[n]),Recursive Formula for Momentum (M[n])
1,Bernoulli,1,p,p
2,Bernoulli,2,p,p
3,Bernoulli,3,p,CM[2]
4,Bernoulli,4,p,CM[3]
5,Bernoulli,5,p,CM[4]
6,Bernoulli,6,p,CM[5]
7,Bernoulli,7,p,CM[6]
8,Bernoulli,8,p,CM[7]
9,Bernoulli,9,p,CM[8]
10,Bernoulli,10,p,CM[9]
11,Bernoulli,11,p,CM[10]
12,Bernoulli,12,p,CM[11]
13,Bernoulli,13,p,CM[12]
14,Bernoulli,14,p,CM[13]
15,Bernoulli,15,p,CM[14]
16,Bernoulli,16,p,CM[15]
17,Bernoulli,17,p,CM[16]
18,Bernoulli,18,p,CM[17]
19,Bernoulli,19,p,CM[18]
20,Bernoulli,20,p,CM[19]
21,Bernoulli,21,p,CM[20]
22,Bernoulli,22,p,CM[21]
23,Bernoulli,23,p,CM[22]
24,Bernoulli,24,p,CM[23]
25,Bernoulli,25,p,CM[24]
26,Bernoulli,26,p,CM[25]
27,Bernoulli,27,p,CM[26]
28,Bernoulli,28,p,CM[27]
29,Bernoulli,29,p,CM[28]
30,Bernoulli,30,p,CM[29]
31,Bernoulli,31,p,CM[30]
32,Bernoulli,32,p,CM[31]
33,Bernoulli,33,p,CM[32]
34,Bernoulli,34,p,CM[33]
35,Bernoulli,35,p,CM[34]
36,Bernoulli,36,p,CM[35]
37,Bernoulli,37,p,CM[36]
38,Bernoulli,38,p,CM[37]
39,Bernoulli,39,p,CM[38]
40,Bernoulli,40,p,CM[39]
41,Bernoulli,41,p,CM[40]
42,Bernoulli,42,p,CM[41]
43,Bernoulli,43,p,CM[42]
44,Bernoulli,44,p,CM[43]
45,Bernoulli,45,p,CM[44]
46,Bernoulli,46,p,CM[45]
47,Bernoulli,47,p,CM[46]
48,Bernoulli,48,p,CM[47]
49,Bernoulli,49,p,CM[48]
50,Bernoulli,50,p,CM[49]
51,Bernoulli,51,p,CM[50]
52,Bernoulli,52,p,CM[51]
53,Bernoulli,53,p,CM[52]
54,Bernoulli,54,p,CM[53]
55,Bernoulli,55,p,CM[54]
56,Bernoulli,56,p,CM[55]
57,Bernoulli,57,p,CM[56]
58,Bernoulli,58,p,CM[57]
59,Bernoulli,59,p,CM[58]
60,Bernoulli,60,p,CM[59]
61,Bernoulli,61,p,CM[60]
62,Bernoulli,62,p,CM[61]
63,Bernoulli,63,p,CM[62]
64,Bernoulli,64,p,CM[63]
65,Bernoulli,65,p,CM[64]
66,Bernoulli,66,p,CM[65]
67,Bernoulli,67,p,CM[66]
68,Bernoulli,68,p,CM[67]
69,Bernoulli,69,p,CM[68]
70,Bernoulli,70,p,CM[69]
71,Bernoulli,71,p,CM[70]
72,Bernoulli,72,p,CM[71]
73,Bernoulli,73,p,CM[72]
74,Bernoulli,74,p,CM[73]
75,Bernoulli,75,p,CM[74]
76,Bernoulli,76,p,CM[75]
77,Bernoulli,77,p,CM[76]
78,Bernoulli,78,p,CM[77]
79,Bernoulli,79,p,CM[78]
80,Bernoulli,80,p,CM[79]
81,Bernoulli,81,p,CM[80]
82,Bernoulli,82,p,CM[81]
83,Bernoulli,83,p,CM[82]
84,Bernoulli,84,p,CM[83]
85,Bernoulli,85,p,CM[84]
86,Bernoulli,86,p,CM[85]
87,Bernoulli,87,p,CM[86]
88,Bernoulli,88,p,CM[87]
89,Bernoulli,89,p,CM[88]
90,Bernoulli,90,p,CM[89]
91,Bernoulli,91,p,CM[90]
92,Bernoulli,92,p,CM[91]
93,Bernoulli,93,p,CM[92]
94,Bernoulli,94,p,CM[93]
95,Bernoulli,95,p,CM[94]
96,Bernoulli,96,p,CM[95]
97,Bernoulli,97,p,CM[96]
98,Bernoulli,98,p,CM[97]
99,Bernoulli,99,p,CM[98]
