,Distribution,Order,Momentum,Central-Momentum
1,Bernoulli,1,p,0
2,Bernoulli,2,p,p**2*(1 - p) + p*(1 - p)**2
3,Bernoulli,3,p,-p**3*(1 - p) + p*(1 - p)**3
4,Bernoulli,4,p,p**4*(1 - p) + p*(1 - p)**4
5,Bernoulli,5,p,-p**5*(1 - p) + p*(1 - p)**5
6,Bernoulli,6,p,p**6*(1 - p) + p*(1 - p)**6
7,Bernoulli,7,p,-p**7*(1 - p) + p*(1 - p)**7
8,Bernoulli,8,p,p**8*(1 - p) + p*(1 - p)**8
9,Bernoulli,9,p,-p**9*(1 - p) + p*(1 - p)**9
10,Bernoulli,10,p,p**10*(1 - p) + p*(1 - p)**10
11,Bernoulli,11,p,-p**11*(1 - p) + p*(1 - p)**11
12,Bernoulli,12,p,p**12*(1 - p) + p*(1 - p)**12
13,Bernoulli,13,p,-p**13*(1 - p) + p*(1 - p)**13
14,Bernoulli,14,p,p**14*(1 - p) + p*(1 - p)**14
15,Bernoulli,15,p,-p**15*(1 - p) + p*(1 - p)**15
16,Bernoulli,16,p,p**16*(1 - p) + p*(1 - p)**16
17,Bernoulli,17,p,-p**17*(1 - p) + p*(1 - p)**17
18,Bernoulli,18,p,p**18*(1 - p) + p*(1 - p)**18
19,Bernoulli,19,p,-p**19*(1 - p) + p*(1 - p)**19
20,Bernoulli,20,p,p**20*(1 - p) + p*(1 - p)**20
21,Bernoulli,21,p,-p**21*(1 - p) + p*(1 - p)**21
22,Bernoulli,22,p,p**22*(1 - p) + p*(1 - p)**22
23,Bernoulli,23,p,-p**23*(1 - p) + p*(1 - p)**23
24,Bernoulli,24,p,p**24*(1 - p) + p*(1 - p)**24
25,Bernoulli,25,p,-p**25*(1 - p) + p*(1 - p)**25
26,Bernoulli,26,p,p**26*(1 - p) + p*(1 - p)**26
27,Bernoulli,27,p,-p**27*(1 - p) + p*(1 - p)**27
28,Bernoulli,28,p,p**28*(1 - p) + p*(1 - p)**28
29,Bernoulli,29,p,-p**29*(1 - p) + p*(1 - p)**29
